Rank,Release,Opening ($),Total Gross ($),Non-opening ($),% of Total,Theaters,Average ($),Date,Distributor,Average ($)
44,Man of Steel,"116,619,362","291,045,518",174426156,40.10,"4,207","27,720","Jun 14, 2013",Warner Bros.,"27,720"
45,Alice in Wonderland,"116,101,023","334,191,110",218090087,34.70,"3,728","31,142","Mar 5, 2010",Walt Disney Studios Motion Pictures,"31,142"
46,Minions,"115,718,405","336,045,770",220327365,34.40,"4,301","26,905","Jul 10, 2015",Universal Pictures,"26,905"
47,Spider-Man,"114,844,116","403,706,375",288862259,28.40,"3,615","31,768","May 3, 2002",Sony Pictures Releasing,"31,768"
48,Pirates of the Caribbean: At World's End,"114,732,820","309,420,425",194687605,37.10,"4,362","26,302","May 25, 2007",Walt Disney Studios Motion Pictures,"26,302"
49,Toy Story 3,"110,307,189","415,004,880",304697691,26.60,"4,028","27,385","Jun 18, 2010",Walt Disney Studios Motion Pictures,"27,385"
50,Transformers: Revenge of the Fallen,"108,966,307","402,111,870",293145563,27.10,"4,234","25,736","Jun 24, 2009",DreamWorks,"25,736"
51,Star Wars: Episode III - Revenge of the Sith,"108,435,841","380,270,577",271834736,28.50,"3,661","29,619","May 19, 2005",Twentieth Century Fox,"29,619"
52,Shrek 2,"108,037,878","441,226,247",333188369,24.50,"4,163","25,951","May 19, 2004",DreamWorks Distribution,"25,951"
53,The Secret Life of Pets,"104,352,905","368,384,330",264031425,28.30,"4,370","23,879","Jul 8, 2016",Universal Pictures,"23,879"
54,The Jungle Book,"103,261,464","364,001,123",260739659,28.40,"4,028","25,635","Apr 15, 2016",Walt Disney Studios Motion Pictures,"25,635"
55,Wonder Woman,"103,251,471","412,563,408",309311937,25,"4,165","24,790","Jun 2, 2017",Warner Bros.,"24,790"
56,X-Men: The Last Stand,"102,750,665","234,362,462",131611797,43.80,"3,690","27,845","May 26, 2006",Twentieth Century Fox,"27,845"
57,Harry Potter and the Goblet of Fire,"102,685,961","290,013,036",187327075,35.40,"3,858","26,616","Nov 18, 2005",Warner Bros.,"26,616"
58,The Hunger Games: Mockingjay - Part 2,"102,665,981","281,723,902",179057921,36.40,"4,175","24,590","Nov 20, 2015",Lionsgate,"24,590"
