Rank,Release,Opening ($),Total Gross ($),Non-opening ($),% of Total,Theaters,Average ($),Date,Distributor,Average ($)
199,Mission: Impossible - Rogue Nation,"55,520,089","195,042,377",139522288,28.50,"3,956","14,034","Jul 31, 2015",Paramount Pictures,"14,034"
200,The Incredible Hulk,"55,414,050","134,806,913",79392863,41.10,"3,505","15,810","Jun 13, 2008",Universal Pictures,"15,810"
201,The SpongeBob Movie: Sponge Out of Water,"55,365,012","162,994,032",107629020,34,"3,641","15,205","Feb 6, 2015",Paramount Pictures,"15,205"
202,Watchmen,"55,214,334","107,509,799",52295465,51.40,"3,611","15,290","Mar 6, 2009",Warner Bros.,"15,290"
203,X-Men: First Class,"55,101,604","146,408,305",91306701,37.60,"3,641","15,133","Jun 3, 2011",Twentieth Century Fox,"15,133"
204,How the Grinch Stole Christmas,"55,082,330","260,044,825",204962495,21.20,"3,127","17,615","Nov 17, 2000",Universal Pictures,"17,615"
205,The Chronicles of Narnia: Prince Caspian,"55,034,805","141,621,490",86586685,38.90,"3,929","14,007","May 16, 2008",Walt Disney Studios Motion Pictures,"14,007"
206,How to Train Your Dragon: The Hidden World,"55,022,245","160,799,505",105777260,34.20,"4,259","12,919","Feb 22, 2019",Universal Pictures,"12,919"
207,Rise of the Planet of the Apes,"54,806,191","176,760,185",121953994,31,"3,648","15,023","Aug 5, 2011",Twentieth Century Fox,"15,023"
208,The Hobbit: The Battle of the Five Armies,"54,724,334","255,119,788",200395454,21.40,"3,875","14,122","Dec 17, 2014",Warner Bros.,"14,122"
209,G.I. Joe: The Rise of Cobra,"54,713,046","150,201,498",95488452,36.40,"4,007","13,654","Aug 7, 2009",Paramount Pictures,"13,654"
210,Divergent,"54,607,747","150,947,895",96340148,36.20,"3,936","13,873","Mar 21, 2014",Lionsgate,"13,873"
211,Men in Black 3,"54,592,779","179,020,854",124428075,30.50,"4,248","12,851","May 25, 2012",Sony Pictures Releasing,"12,851"
212,San Andreas,"54,588,173","155,190,832",100602659,35.20,"3,777","14,452","May 29, 2015",Warner Bros.,"14,452"
213,X-Men,"54,471,475","157,299,718",102828243,34.60,"3,025","18,007","Jul 14, 2000",Twentieth Century Fox,"18,007"
214,Ted,"54,415,205","218,815,487",164400282,24.90,"3,239","16,800","Jun 29, 2012",Universal Pictures,"16,800"
215,Pokémon Detective Pikachu,"54,365,242","144,105,346",89740104,37.70,"4,202","12,937","May 10, 2019",Warner Bros.,"12,937"
216,The Martian,"54,308,575","228,433,663",174125088,23.80,"3,831","14,176","Oct 2, 2015",Twentieth Century Fox,"14,176"
217,Night at the Museum: Battle of the Smithsonian,"54,173,286","177,243,721",123070435,30.60,"4,096","13,225","May 22, 2009",Twentieth Century Fox,"13,225"
218,Scooby-Doo,"54,155,312","153,294,164",99138852,35.30,"3,447","15,710","Jun 14, 2002",Warner Bros.,"15,710"
219,The Nun,"53,807,379","117,450,119",63642740,45.80,"3,876","13,882","Sep 7, 2018",Warner Bros.,"13,882"
220,Cars 3,"53,688,680","152,901,115",99212435,35.10,"4,256","12,614","Jun 16, 2017",Walt Disney Studios Motion Pictures,"12,614"
221,Shazam!,"53,505,326","140,371,656",86866330,38.10,"4,217","12,688","Apr 5, 2019",Warner Bros.,"12,688"
222,Green Lantern,"53,174,303","116,601,172",63426869,45.60,"3,816","13,934","Jun 17, 2011",Warner Bros.,"13,934"
223,The Wolverine,"53,113,752","132,556,852",79443100,40.10,"3,924","13,535","Jul 26, 2013",Twentieth Century Fox,"13,535"
224,The Lego Batman Movie,"53,003,468","175,750,384",122746916,30.20,"4,088","12,965","Feb 10, 2017",Warner Bros.,"12,965"
225,Batman Forever,"52,784,433","184,031,112",131246679,28.70,"2,842","18,572","Jun 16, 1995",Warner Bros.,"18,572"
226,Paranormal Activity 3,"52,568,183","104,028,807",51460624,50.50,"3,321","15,829","Oct 21, 2011",Paramount Pictures,"15,829"
227,Superman Returns,"52,535,096","200,081,192",147546096,26.30,"4,065","12,923","Jun 28, 2006",Warner Bros.,"12,923"
228,The Bourne Supremacy,"52,521,865","176,241,941",123720076,29.80,"3,165","16,594","Jul 23, 2004",Universal Pictures,"16,594"
229,Insurgent,"52,263,680","130,179,072",77915392,40.20,"3,875","13,487","Mar 20, 2015",Lionsgate,"13,487"
230,"I, Robot","52,179,887","144,801,023",92621136,36,"3,420","15,257","Jul 16, 2004",Twentieth Century Fox,"15,257"
231,Men in Black II,"52,148,751","190,418,803",138270052,27.40,"3,557","14,660","Jul 3, 2002",Sony Pictures Releasing,"14,660"
232,Home,"52,107,731","177,397,510",125289779,29.40,"3,708","14,052","Mar 27, 2015",Twentieth Century Fox,"14,052"
233,Van Helsing,"51,748,040","120,177,084",68429044,43.10,"3,575","14,474","May 7, 2004",Universal Pictures,"14,474"
234,8 Mile,"51,240,555","116,750,901",65510346,43.90,"2,470","20,745","Nov 8, 2002",Universal Pictures,"20,745"
235,Men in Black,"51,068,455","250,690,539",199622084,20.40,"3,020","16,910","Jul 2, 1997",Sony Pictures Releasing,"16,910"
236,Bohemian Rhapsody,"51,061,119","216,428,042",165366923,23.60,"4,000","12,765","Nov 2, 2018",Twentieth Century Fox,"12,765"
237,Prometheus,"51,050,101","126,477,084",75426983,40.40,"3,396","15,032","Jun 8, 2012",Twentieth Century Fox,"15,032"
238,Wanted,"50,927,085","134,508,551",83581466,37.90,"3,175","16,040","Jun 27, 2008",Universal Pictures,"16,040"
239,Coco,"50,802,605","209,726,015",158923410,24.20,"3,987","12,742","Nov 22, 2017",Walt Disney Studios Motion Pictures,"12,742"
240,Jurassic Park III,"50,771,645","181,171,875",130400230,28,"3,434","14,784","Jul 18, 2001",Universal Pictures,"14,784"
241,The Village,"50,746,142","114,197,520",63451378,44.40,"3,730","13,604","Jul 30, 2004",Walt Disney Studios Motion Pictures,"13,604"
242,Dunkirk,"50,513,488","188,045,546",137532058,26.90,"3,720","13,578","Jul 21, 2017",Warner Bros.,"13,578"
243,2 Fast 2 Furious,"50,472,480","127,154,901",76682421,39.70,"3,408","14,810","Jun 6, 2003",Universal Pictures,"14,810"
244,Jackass 3D,"50,353,641","117,229,692",66876051,43,"3,081","16,343","Oct 15, 2010",Paramount Pictures,"16,343"
245,Mr. & Mrs. Smith,"50,342,878","186,336,279",135993401,27,"3,424","14,702","Jun 10, 2005",Twentieth Century Fox,"14,702"
246,Rush Hour 3,"50,237,000","140,125,968",89888968,35.80,"3,778","13,297","Aug 10, 2007",New Line Cinema,"13,297"
247,Independence Day,"50,228,264","306,169,268",255941004,16.40,"2,882","17,428","Jul 3, 1996",Twentieth Century Fox,"17,428"
248,A Quiet Place,"50,203,562","188,024,361",137820799,26.70,"3,508","14,311","Apr 6, 2018",Paramount Pictures,"14,311"
249,The Boss Baby,"50,198,902","175,003,033",124804131,28.70,"3,773","13,304","Mar 31, 2017",Twentieth Century Fox,"13,304"
250,King Kong,"50,130,145","218,080,025",167949880,23,"3,568","14,049","Dec 14, 2005",Universal Pictures,"14,049"
251,The Great Gatsby,"50,085,185","144,840,419",94755234,34.60,"3,535","14,168","May 10, 2013",Warner Bros.,"14,168"
252,Scary Movie 3,"49,700,000","110,003,217",60303217,45.20,"3,505","14,179","Oct 24, 2003",Dimension Films,"14,179"
253,Taken 2,"49,514,769","139,854,287",90339518,35.40,"3,661","13,524","Oct 5, 2012",Twentieth Century Fox,"13,524"
254,How to Train Your Dragon 2,"49,451,322","177,002,924",127551602,27.90,"4,253","11,627","Jun 13, 2014",Twentieth Century Fox,"11,627"
255,Wreck-It Ralph,"49,038,712","189,422,889",140384177,25.90,"3,752","13,070","Nov 2, 2012",Walt Disney Studios Motion Pictures,"13,070"
256,Neighbors,"49,033,915","150,157,400",101123485,32.70,"3,279","14,953","May 9, 2014",Universal Pictures,"14,953"
257,Alvin and the Chipmunks: The Squeakquel,"48,875,415","219,614,612",170739197,22.30,"3,700","13,209","Dec 23, 2009",Twentieth Century Fox,"13,209"
258,Tangled,"48,767,052","200,821,936",152054884,24.30,"3,603","13,535","Nov 24, 2010",Walt Disney Studios Motion Pictures,"13,535"
259,Batman Begins,"48,745,440","205,343,774",156598334,23.70,"3,858","12,634","Jun 15, 2005",Warner Bros.,"12,634"
260,The Matrix Revolutions,"48,475,154","139,313,948",90838794,34.80,"3,502","13,842","Nov 5, 2003",Warner Bros.,"13,842"
261,Hotel Transylvania 2,"48,464,322","169,700,110",121235788,28.60,"3,754","12,910","Sep 25, 2015",Sony Pictures Releasing,"12,910"
262,The Fault in Our Stars,"48,002,523","124,872,350",76869827,38.40,"3,173","15,128","Jun 6, 2014",Twentieth Century Fox,"15,128"
263,Godzilla: King of the Monsters,"47,776,293","110,500,138",62723845,43.20,"4,108","11,630","May 31, 2019",Warner Bros.,"11,630"
264,Mission: Impossible III,"47,743,273","134,029,801",86286528,35.60,"4,054","11,776","May 5, 2006",Paramount Pictures,"11,776"
265,Lara Croft: Tomb Raider,"47,735,743","131,168,070",83432327,36.40,"3,308","14,430","Jun 15, 2001",Paramount Pictures,"14,430"
266,Kung Fu Panda 2,"47,656,302","165,249,063",117592761,28.80,"3,925","12,141","May 26, 2011",DreamWorks,"12,141"
267,The Longest Yard,"47,606,480","158,119,460",110512980,30.10,"3,634","13,100","May 27, 2005",Paramount Pictures,"13,100"
268,Shark Tale,"47,604,606","160,861,908",113257302,29.60,"4,016","11,853","Oct 1, 2004",DreamWorks Distribution,"11,853"
269,Interstellar,"47,510,360","188,020,017",140509657,25.30,"3,561","13,341","Nov 5, 2014",Paramount Pictures,"13,341"
270,Madagascar,"47,224,594","193,595,521",146370927,24.40,"4,131","11,431","May 27, 2005",DreamWorks Distribution,"11,431"
271,The Lord of the Rings: The Fellowship of the Ring,"47,211,490","313,364,114",266152624,15.10,"3,359","14,055","Dec 19, 2001",New Line Cinema,"14,055"
272,Die Another Day,"47,072,040","160,942,139",113870099,29.20,"3,314","14,203","Nov 22, 2002",Metro-Goldwyn-Mayer (MGM),"14,203"
273,Talladega Nights: The Ballad of Ricky Bobby,"47,042,215","148,213,377",101171162,31.70,"3,803","12,369","Aug 4, 2006",Sony Pictures Releasing,"12,369"
274,Ratatouille,"47,027,395","206,445,654",159418259,22.80,"3,940","11,935","Jun 29, 2007",Walt Disney Studios Motion Pictures,"11,935"
275,Jurassic Park,"47,026,828","357,067,947",310041119,13.20,"2,404","19,561","Jun 11, 1993",Universal Pictures,"19,561"
276,Troy,"46,865,412","133,378,256",86512844,35.10,"3,411","13,739","May 14, 2004",Warner Bros.,"13,739"
277,The Secret Life of Pets 2,"46,652,680","158,874,395",112221715,29.40,"4,561","10,228","Jun 7, 2019",Universal Pictures,"10,228"
278,Pirates of the Caribbean: The Curse of the Black Pearl,"46,630,690","305,413,918",258783228,15.30,"3,269","14,264","Jul 9, 2003",Walt Disney Studios Motion Pictures,"14,264"
279,Ice Age: Continental Drift,"46,629,259","161,321,843",114692584,28.90,"3,881","12,014","Jul 13, 2012",Twentieth Century Fox,"12,014"
280,Fifty Shades Darker,"46,607,250","114,581,250",67974000,40.70,"3,710","12,562","Feb 10, 2017",Universal Pictures,"12,562"
281,Trolls,"46,581,142","153,707,064",107125922,30.30,"4,060","11,473","Nov 4, 2016",Twentieth Century Fox,"11,473"
282,Bad Boys II,"46,522,560","138,608,444",92085884,33.60,"3,186","14,602","Jul 18, 2003",Sony Pictures Releasing,"14,602"
283,Ice Age,"46,312,454","176,387,405",130074951,26.30,"3,316","13,966","Mar 15, 2002",Twentieth Century Fox,"13,966"
284,Angels & Demons,"46,204,168","133,375,846",87171678,34.60,"3,527","13,100","May 15, 2009",Sony Pictures Releasing,"13,100"
285,Meet the Fockers,"46,120,980","279,261,160",233140180,16.50,"3,518","13,110","Dec 22, 2004",Universal Pictures,"13,110"
286,Ghostbusters,"46,018,755","128,350,574",82331819,35.80,"3,963","11,612","Jul 15, 2016",Sony Pictures Releasing,"11,612"
287,Megamind,"46,016,833","148,415,853",102399020,31,"3,944","11,667","Nov 5, 2010",DreamWorks,"11,667"
288,Dumbo,"45,990,748","114,766,307",68775559,40.10,"4,259","10,798","Mar 29, 2019",Walt Disney Studios Motion Pictures,"10,798"
289,Batman Returns,"45,687,711","162,831,698",117143987,28.10,"2,644","17,279","Jun 19, 1992",Warner Bros.,"17,279"
290,Mission: Impossible,"45,436,830","180,981,856",135545026,25.10,"3,012","15,085","May 22, 1996",Paramount Pictures,"15,085"
291,Mad Max: Fury Road,"45,428,128","153,636,354",108208226,29.60,"3,702","12,271","May 15, 2015",Warner Bros.,"12,271"
292,The Meg,"45,402,195","145,443,742",100041547,31.20,"4,118","11,025","Aug 10, 2018",Warner Bros.,"11,025"
293,Ghost Rider,"45,388,836","115,802,596",70413760,39.20,"3,619","12,541","Feb 16, 2007",Sony Pictures Releasing,"12,541"
294,American Pie 2,"45,117,985","145,103,595",99985610,31.10,"3,063","14,729","Aug 10, 2001",Universal Pictures,"14,729"
295,300: Rise of an Empire,"45,038,460","106,580,051",61541591,42.30,"3,470","12,979","Mar 7, 2014",Warner Bros.,"12,979"
296,Horton Hears a Who!,"45,012,998","154,529,439",109516441,29.10,"3,954","11,384","Mar 14, 2008",Twentieth Century Fox,"11,384"
297,The Hangover,"44,979,319","277,322,503",232343184,16.20,"3,269","13,759","Jun 5, 2009",Warner Bros.,"13,759"
298,National Treasure: Book of Secrets,"44,783,772","219,964,115",175180343,20.40,"3,832","11,686","Dec 21, 2007",Walt Disney Studios Motion Pictures,"11,686"
299,Transformers: The Last Knight,"44,680,073","130,168,683",85488610,34.30,"4,069","10,980","Jun 21, 2017",Paramount Pictures,"10,980"
300,xXx,"44,506,103","142,109,382",97603279,31.30,"3,374","13,190","Aug 9, 2002",Revolution Studios,"13,190"
301,Alvin and the Chipmunks,"44,307,417","217,326,974",173019557,20.40,"3,475","12,750","Dec 14, 2007",Twentieth Century Fox,"12,750"
302,The Peanuts Movie,"44,213,073","130,178,411",85965338,34,"3,897","11,345","Nov 6, 2015",Twentieth Century Fox,"11,345"
303,Hotel Transylvania 3: Summer Vacation,"44,076,225","167,510,016",123433791,26.30,"4,267","10,329","Jul 13, 2018",Sony Pictures Releasing,"10,329"
304,Godzilla,"44,047,541","136,314,294",92266753,32.30,"3,310","13,307","May 20, 1998",Sony Pictures Releasing,"13,307"
305,Terminator 3: Rise of the Machines,"44,041,440","150,371,112",106329672,29.30,"3,504","12,568","Jul 2, 2003",Warner Bros.,"12,568"
306,TRON: Legacy,"44,026,211","172,062,763",128036552,25.60,"3,451","12,757","Dec 17, 2010",Walt Disney Studios Motion Pictures,"12,757"
307,Lucy,"43,899,340","126,663,600",82764260,34.70,"3,173","13,835","Jul 25, 2014",Universal Pictures,"13,835"
308,How to Train Your Dragon,"43,732,319","217,581,231",173848912,20.10,"4,055","10,784","Mar 26, 2010",DreamWorks,"10,784"
309,Noah,"43,720,472","101,200,044",57479572,43.20,"3,567","12,256","Mar 28, 2014",Paramount Pictures,"12,256"
310,The Croods,"43,639,736","187,168,425",143528689,23.30,"4,046","10,785","Mar 22, 2013",Twentieth Century Fox,"10,785"
311,American Gangster,"43,565,135","130,164,645",86599510,33.50,"3,054","14,264","Nov 2, 2007",Universal Pictures,"14,264"
312,The Mummy,"43,369,635","155,385,488",112015853,27.90,"3,210","13,510","May 7, 1999",Universal Pictures,"13,510"
313,Hitch,"43,142,214","179,495,555",136353341,24,"3,575","12,067","Feb 11, 2005",Sony Pictures Releasing,"12,067"
314,A Star Is Born,"42,908,051","215,288,866",172380815,19.90,"3,686","11,640","Oct 5, 2018",Warner Bros.,"11,640"
315,Batman & Robin,"42,872,605","107,325,195",64452590,40,"2,934","14,612","Jun 20, 1997",Warner Bros.,"14,612"
316,Terminator Salvation,"42,558,390","125,322,469",82764079,34,"3,530","12,056","May 21, 2009",Warner Bros.,"12,056"
317,Hotel Transylvania,"42,522,194","148,313,048",105790854,28.70,"3,349","12,696","Sep 28, 2012",Sony Pictures Releasing,"12,696"
318,Nutty Professor II: The Klumps,"42,518,830","123,309,890",80791060,34.50,"3,242","13,115","Jul 28, 2000",Universal Pictures,"13,115"
319,Shrek,"42,347,760","267,665,011",225317251,15.80,"3,587","11,805","May 16, 2001",DreamWorks Distribution,"11,805"
320,Scary Movie,"42,346,669","157,019,771",114673102,27,"2,912","14,542","Jul 7, 2000",Miramax,"14,542"
321,Anger Management,"42,220,847","135,645,823",93424976,31.10,"3,551","11,889","Apr 11, 2003",Revolution Studios,"11,889"
322,High School Musical 3,"42,030,184","90,559,416",48529232,46.40,"3,623","11,600","Oct 24, 2008",Walt Disney Studios Motion Pictures,"11,600"
323,The Conjuring,"41,855,326","137,400,141",95544815,30.50,"2,903","14,417","Jul 19, 2013",Warner Bros.,"14,417"
324,Ready Player One,"41,764,050","137,690,172",95926122,30.30,"4,234","9,863","Mar 29, 2018",Warner Bros.,"9,863"
325,Ice Age: Dawn of the Dinosaurs,"41,690,382","196,573,705",154883323,21.20,"4,099","10,170","Jul 1, 2009",Twentieth Century Fox,"10,170"
326,The Hangover Part III,"41,671,198","112,200,072",70528874,37.10,"3,555","11,721","May 23, 2013",Warner Bros.,"11,721"
327,Ocean's Eight,"41,607,378","140,218,711",98611333,29.70,"4,145","10,037","Jun 8, 2018",Warner Bros.,"10,037"
328,Big Daddy,"41,536,370","163,479,795",121943425,25.40,"3,027","13,721","Jun 25, 1999",Sony Pictures Releasing,"13,721"
329,Happy Feet,"41,533,432","198,000,317",156466885,21,"3,804","10,918","Nov 17, 2006",Warner Bros.,"10,918"
330,Ride Along,"41,516,170","134,938,200",93422030,30.80,"2,663","15,590","Jan 17, 2014",Universal Pictures,"15,590"
331,Grown Ups 2,"41,508,572","133,668,525",92159953,31,"3,491","11,890","Jul 12, 2013",Sony Pictures Releasing,"11,890"
332,The Perfect Storm,"41,325,042","182,618,434",141293392,22.60,"3,407","12,129","Jun 30, 2000",Warner Bros.,"12,129"
333,Kung Fu Panda 3,"41,282,042","143,528,619",102246577,28.80,"3,955","10,437","Jan 29, 2016",Twentieth Century Fox,"10,437"
334,The Vow,"41,202,458","125,014,030",83811572,33,"2,958","13,929","Feb 10, 2012",Screen Gems,"13,929"
335,Deep Impact,"41,152,375","140,464,664",99312289,29.30,"3,156","13,039","May 8, 1998",Paramount Pictures,"13,039"
336,Once Upon a Time... in Hollywood,"41,082,018","142,502,728",101420710,28.80,"3,659","11,227","Jul 26, 2019",Sony Pictures Releasing,"11,227"
337,Shutter Island,"41,062,440","128,012,934",86950494,32.10,"2,991","13,728","Feb 19, 2010",Paramount Pictures,"13,728"
338,Twister,"41,059,405","241,721,524",200662119,17,"2,414","17,008","May 10, 1996",Warner Bros.,"17,008"
339,Independence Day: Resurgence,"41,039,944","103,144,286",62104342,39.80,"4,130","9,937","Jun 24, 2016",Twentieth Century Fox,"9,937"
340,Madea Goes to Jail,"41,030,947","90,508,336",49477389,45.30,"2,032","20,192","Feb 20, 2009",Lionsgate,"20,192"
341,Casino Royale,"40,833,156","167,445,960",126612804,24.40,"3,434","11,890","Nov 17, 2006",Sony Pictures Releasing,"11,890"
342,Paranormal Activity 2,"40,678,424","84,752,907",44074483,48,"3,216","12,648","Oct 22, 2010",Paramount Pictures,"12,648"
343,Friday the 13th,"40,570,365","65,002,019",24431654,62.40,"3,105","13,066","Feb 13, 2009",Warner Bros.,"13,066"
344,Grown Ups,"40,506,562","162,001,186",121494624,25,"3,534","11,461","Jun 25, 2010",Sony Pictures Releasing,"11,461"
345,G.I. Joe: Retaliation,"40,501,814","122,523,060",82021246,33.10,"3,719","10,890","Mar 28, 2013",Paramount Pictures,"10,890"
346,Batman,"40,489,746","251,188,924",210699178,16.10,"2,194","18,454","Jun 23, 1989",Warner Bros.,"18,454"
347,The Mummy: Tomb of the Dragon Emperor,"40,457,770","102,491,776",62034006,39.50,"3,760","10,760","Aug 1, 2008",Universal Pictures,"10,760"
348,The Conjuring 2,"40,406,314","102,470,008",62063694,39.40,"3,343","12,086","Jun 10, 2016",Warner Bros.,"12,086"
349,Glass,"40,328,920","111,048,468",70719548,36.30,"3,841","10,499","Jan 18, 2019",Universal Pictures,"10,499"
350,The Last Airbender,"40,325,019","131,772,187",91447168,30.60,"3,169","12,724","Jul 1, 2010",Paramount Pictures,"12,724"
351,Daredevil,"40,310,419","102,543,518",62233099,39.30,"3,471","11,613","Feb 14, 2003",Twentieth Century Fox,"11,613"
352,Power Rangers,"40,300,288","85,364,450",45064162,47.20,"3,693","10,912","Mar 24, 2017",Lionsgate,"10,912"
353,Insidious: Chapter 2,"40,272,103","83,586,447",43314344,48.20,"3,049","13,208","Sep 13, 2013",FilmDistrict,"13,208"
354,Scary Movie 4,"40,222,875","90,710,620",50487745,44.30,"3,602","11,166","Apr 14, 2006",-,"11,166"
355,Safe House,"40,172,720","126,373,434",86200714,31.80,"3,119","12,880","Feb 10, 2012",Universal Pictures,"12,880"
356,Charlie's Angels,"40,128,550","125,305,545",85176995,32,"3,037","13,213","Nov 3, 2000",Sony Pictures Releasing,"13,213"
357,The Fast and the Furious,"40,089,015","144,533,925",104444910,27.70,"2,628","15,254","Jun 22, 2001",Universal Pictures,"15,254"
358,Cloverfield,"40,058,229","80,048,433",39990204,50,"3,411","11,743","Jan 18, 2008",Paramount Pictures,"11,743"
359,Chicken Little,"40,049,778","135,386,665",95336887,29.60,"3,654","10,960","Nov 4, 2005",Walt Disney Studios Motion Pictures,"10,960"
360,Click,"40,011,365","137,355,633",97344268,29.10,"3,749","10,672","Jun 23, 2006",Revolution Studios,"10,672"
361,Split,"40,010,975","138,291,365",98280390,28.90,"3,038","13,170","Jan 20, 2017",Universal Pictures,"13,170"
362,50 First Dates,"39,852,237","120,908,074",81055837,33,"3,591","11,097","Feb 13, 2004",Sony Pictures Releasing,"11,097"
363,Wild Hogs,"39,699,023","168,273,550",128574527,23.60,"3,287","12,077","Mar 2, 2007",Walt Disney Studios Motion Pictures,"12,077"
364,Sherlock Holmes: A Game of Shadows,"39,637,079","186,848,418",147211339,21.20,"3,703","10,704","Dec 16, 2011",Warner Bros.,"10,704"
365,The Waterboy,"39,414,071","161,491,646",122077575,24.40,"2,664","14,795","Nov 6, 1998",Walt Disney Studios Motion Pictures,"14,795"
366,Rio 2,"39,327,869","131,538,435",92210566,29.90,"3,948","9,961","Apr 11, 2014",Twentieth Century Fox,"9,961"
367,Rio,"39,225,962","143,619,809",104393847,27.30,"3,826","10,252","Apr 15, 2011",Twentieth Century Fox,"10,252"
368,Taken 3,"39,201,657","89,256,424",50054767,43.90,"3,594","10,907","Jan 9, 2015",Twentieth Century Fox,"10,907"
369,The Break-Up,"39,172,785","118,703,275",79530490,33,"3,070","12,759","Jun 2, 2006",Universal Pictures,"12,759"
370,The Good Dinosaur,"39,155,217","123,087,120",83931903,31.80,"3,749","10,444","Nov 25, 2015",Walt Disney Studios Motion Pictures,"10,444"
371,Ocean's Twelve,"39,153,380","125,544,280",86390900,31.20,"3,290","11,900","Dec 10, 2004",Warner Bros.,"11,900"
372,The Grudge,"39,128,715","110,359,362",71230647,35.50,"3,245","12,058","Oct 22, 2004",Sony Pictures Releasing,"12,058"
373,Magic Mike,"39,127,170","113,721,571",74594401,34.40,"2,930","13,353","Jun 29, 2012",Warner Bros.,"13,353"
374,Onward,"39,119,861","41,629,376",2509515,94,"4,310","9,076","Mar 6, 2020",Walt Disney Studios Motion Pictures,"9,076"
375,The Heat,"39,115,043","159,582,188",120467145,24.50,"3,181","12,296","Jun 28, 2013",Twentieth Century Fox,"12,296"
376,Kingsman: The Golden Circle,"39,023,010","100,229,647",61206637,38.90,"4,003","9,748","Sep 22, 2017",Twentieth Century Fox,"9,748"
377,Dinosaur,"38,854,851","137,748,063",98893212,28.20,"3,257","11,929","May 19, 2000",Walt Disney Studios Motion Pictures,"11,929"
378,Daddy's Home,"38,740,203","150,357,137",111616934,25.80,"3,271","11,843","Dec 25, 2015",Paramount Pictures,"11,843"
379,Get Smart,"38,683,480","130,319,208",91635728,29.70,"3,911","9,890","Jun 20, 2008",Warner Bros.,"9,890"
380,Fifty Shades Freed,"38,560,195","100,407,760",61847565,38.40,"3,768","10,233","Feb 9, 2018",Universal Pictures,"10,233"
381,You Don't Mess with the Zohan,"38,531,374","100,018,837",61487463,38.50,"3,462","11,129","Jun 6, 2008",Sony Pictures Releasing,"11,129"
382,The Legend of Tarzan,"38,527,856","126,643,061",88115205,30.40,"3,561","10,819","Jul 1, 2016",Warner Bros.,"10,819"
383,Over the Hedge,"38,457,003","155,019,340",116562337,24.80,"4,059","9,474","May 19, 2006",DreamWorks,"9,474"
384,The Cat in the Hat,"38,329,160","101,149,285",62820125,37.90,"3,464","11,065","Nov 21, 2003",Universal Pictures,"11,065"
385,Alien vs. Predator,"38,291,056","80,282,231",41991175,47.70,"3,395","11,278","Aug 13, 2004",Twentieth Century Fox,"11,278"
386,The Angry Birds Movie,"38,155,177","107,509,366",69354189,35.50,"3,932","9,703","May 20, 2016",Sony Pictures Releasing,"9,703"
387,The Bourne Legacy,"38,142,825","113,203,870",75061045,33.70,"3,745","10,185","Aug 10, 2012",Universal Pictures,"10,185"
388,Ocean's Eleven,"38,107,822","183,417,150",145309328,20.80,"3,075","12,392","Dec 7, 2001",Warner Bros.,"12,392"
389,Rango,"38,079,323","123,477,607",85398284,30.80,"3,917","9,721","Mar 4, 2011",Paramount Pictures,"9,721"
390,Inglourious Basterds,"38,054,676","120,540,719",82486043,31.60,"3,165","12,023","Aug 21, 2009",The Weinstein Company,"12,023"
391,Bee Movie,"38,021,044","126,631,277",88610233,30,"3,928","9,679","Nov 2, 2007",DreamWorks,"9,679"
392,Ace Ventura: When Nature Calls,"37,804,076","108,385,533",70581457,34.90,"2,652","14,254","Nov 10, 1995",Warner Bros.,"14,254"
393,Charlie's Angels: Full Throttle,"37,634,221","100,830,111",63195890,37.30,"3,459","10,880","Jun 27, 2003",Sony Pictures Releasing,"10,880"
394,Hop,"37,543,710","108,085,305",70541595,34.70,"3,579","10,490","Apr 1, 2011",Universal Pictures,"10,490"
395,Gone Girl,"37,513,109","167,767,189",130254080,22.40,"3,014","12,446","Oct 3, 2014",Twentieth Century Fox,"12,446"
396,District 9,"37,354,308","115,646,235",78291927,32.30,"3,049","12,251","Aug 14, 2009",TriStar Pictures,"12,251"
397,Pacific Rim,"37,285,325","101,802,906",64517581,36.60,"3,275","11,384","Jul 12, 2013",Warner Bros.,"11,384"
398,Mr. Deeds,"37,162,787","126,293,452",89130665,29.40,"3,231","11,501","Jun 28, 2002",Sony Pictures Releasing,"11,501"
399,Annabelle,"37,134,255","84,273,813",47139558,44.10,"3,185","11,659","Oct 3, 2014",Warner Bros.,"11,659"
400,Air Force One,"37,132,505","172,956,409",135823904,21.50,"2,919","12,720","Jul 25, 1997",Sony Pictures Releasing,"12,720"
401,S.W.A.T.,"37,062,535","116,934,650",79872115,31.70,"3,202","11,574","Aug 8, 2003",Sony Pictures Releasing,"11,574"
402,Oblivion,"37,054,485","89,107,235",52052750,41.60,"3,783","9,795","Apr 19, 2013",Universal Pictures,"9,795"
403,Maleficent: Mistress of Evil,"36,948,713","113,929,605",76980892,32.40,"3,790","9,749","Oct 18, 2019",Walt Disney Studios Motion Pictures,"9,749"
404,Red Dragon,"36,540,945","93,149,898",56608953,39.20,"3,357","10,885","Oct 4, 2002",Universal Pictures,"10,885"
405,Cowboys & Aliens,"36,431,290","100,240,551",63809261,36.30,"3,750","9,715","Jul 29, 2011",Universal Pictures,"9,715"
406,Freddy vs. Jason,"36,400,000","82,622,655",46222655,44.10,"3,014","12,076","Aug 15, 2003",New Line Cinema,"12,076"
407,Interview with the Vampire: The Vampire Chronicles,"36,389,705","105,264,608",68874903,34.60,"2,604","13,974","Nov 11, 1994",Warner Bros.,"13,974"
