Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,Percent_of_Total,Theaters,Average_Theatre_Rev,Date,Distributor
58,The Hunger Games: Mockingjay - Part 2,102665981,281723902,179057921,36.40,4175,24590,20/11/2015,Lionsgate
59,Indiana Jones and the Kingdom of the Crystal Skull,100137835,317101119,216963284,31.60,4260,23506,22/05/2008,Paramount Pictures
60,Transformers: Age of Extinction,100038390,245439076,145400686,40.80,4233,23632,27/06/2014,Paramount Pictures
61,The Fate of the Furious,98786705,226008385,127221680,43.70,4310,22920,14/04/2017,Universal Pictures
62,Iron Man,98618668,318604126,219985458,31,4105,24024,02/05/2008,Paramount Pictures
63,Transformers: Dark of the Moon,97852865,352390543,254537678,27.80,4088,23936,29/06/2011,DreamWorks
64,Fast & Furious 6,97375245,238679850,141304605,40.80,3658,26619,24/05/2013,Universal Pictures
65,Joker,96202337,335451311,239248974,28.70,4374,21994,04/10/2019,Warner Bros.
66,Captain America: The Winter Soldier,95023721,259766572,164742851,36.60,3938,24129,04/04/2014,Walt Disney Studios Motion Pictures
67,Guardians of the Galaxy,94320883,333176600,238855717,28.30,4080,23117,01/08/2014,Walt Disney Studios Motion Pictures
68,Justice League,93842239,229024295,135182056,41,4051,23165,17/11/2017,Warner Bros.
69,Harry Potter and the Prisoner of Azkaban,93687367,249541069,155853702,37.50,3855,24302,04/06/2004,Warner Bros.
70,Godzilla,93188384,200676069,107487685,46.40,3952,23580,16/05/2014,Warner Bros.
71,Spider-Man: Far from Home,92579212,390532085,297952873,23.70,4634,19978,02/07/2019,Sony Pictures Releasing
72,The Matrix Reloaded,91774413,281576461,189802048,32.60,3603,25471,15/05/2003,Warner Bros.
73,The Amazing Spider-Man 2,91608337,202853933,111245596,45.20,4324,21186,02/05/2014,Sony Pictures Releasing
74,Aladdin,91500929,355559216,264058287,25.70,4476,20442,24/05/2019,Walt Disney Studios Motion Pictures
75,It Chapter Two,91062152,211593228,120531076,43,4570,19926,06/09/2019,Warner Bros.
76,X-Men: Days of Future Past,90823660,233921534,143097874,38.80,3996,22728,23/05/2014,Twentieth Century Fox
77,Inside Out,90440272,356461711,266021439,25.40,3946,22919,19/06/2015,Walt Disney Studios Motion Pictures
78,Harry Potter and the Sorcerer's Stone,90294621,317575550,227280929,28.40,3672,24590,16/11/2001,Warner Bros.
79,Pirates of the Caribbean: On Stranger Tides,90151958,241071802,150919844,37.40,4155,21697,20/05/2011,Walt Disney Studios Motion Pictures
80,Logan,88411916,226277068,137865152,39.10,4071,21717,03/03/2017,Twentieth Century Fox
81,Skyfall,88364714,304360277,215995563,29,3505,25211,09/11/2012,Sony Pictures Releasing
82,Harry Potter and the Chamber of Secrets,88357488,261988482,173630994,33.70,3682,23997,15/11/2002,Warner Bros.
83,Spider-Man 2,88156227,373585825,285429598,23.60,4152,21232,30/06/2004,Sony Pictures Releasing
84,Fast Five,86198765,209837675,123638910,41.10,3644,23654,29/04/2011,Universal Pictures
